City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,7/13/2021 8:30,-46.1927,168.8643,35.6,96,64,3.13
1,Jamestown,US,7/13/2021 8:30,42.097,-79.2353,70.72,94,1,1.01
2,Buala,SB,7/13/2021 8:30,-8.145,159.5921,80.35,84,44,7.81
3,Kars,TR,7/13/2021 8:33,40.602,43.095,76.05,41,20,12.66
4,Mar Del Plata,AR,7/13/2021 8:28,-38.0023,-57.5575,44.62,31,90,5.01
5,Bilibino,RU,7/13/2021 8:33,68.0546,166.4372,70.59,62,34,1.39
6,Sola,VU,7/13/2021 8:32,-13.8833,167.55,80.4,78,45,14.72
7,Ushuaia,AR,7/13/2021 8:30,-54.8,-68.3,33.46,86,75,16.11
8,Esperance,AU,7/13/2021 8:30,-33.8667,121.9,60.64,66,3,22.03
9,Castro,BR,7/13/2021 8:30,-24.7911,-50.0119,49.37,71,9,3.76
10,Punta Arenas,CL,7/13/2021 8:30,-53.15,-70.9167,33.91,93,20,16.11
11,Albany,US,7/13/2021 8:29,42.6001,-73.9662,68.61,95,100,3
12,Solnechnyy,RU,7/13/2021 8:33,50.7214,136.6319,83.89,60,92,9.82
13,Coquimbo,CL,7/13/2021 8:31,-29.9533,-71.3436,51.53,87,0,5.75
14,Lamu,KE,7/13/2021 8:33,-2.2717,40.902,77.22,71,64,15.95
15,Rio Grande,BR,7/13/2021 8:32,-32.035,-52.0986,56.21,81,81,5.28
16,Atuona,PF,7/13/2021 8:30,-9.8,-139.0333,79.14,64,75,21.21
17,Lieto,FI,7/13/2021 8:33,60.5103,22.4618,83.21,49,0,3.44
18,Atambua,ID,7/13/2021 8:33,-9.1061,124.8925,78.3,57,37,4.03
19,Lagoa,PT,7/13/2021 8:31,39.05,-27.9833,67.08,74,76,7.63
20,Naze,JP,7/13/2021 8:30,28.3667,129.4833,83.32,76,89,5.01
21,Ostrovnoy,RU,7/13/2021 8:30,68.0531,39.5131,57.67,92,100,12.26
22,Nanortalik,GL,7/13/2021 8:32,60.1432,-45.2371,41.99,88,95,7.43
23,Bredasdorp,ZA,7/13/2021 8:31,-34.5322,20.0403,52.29,81,75,11.5
24,Oksfjord,NO,7/13/2021 8:33,70.2396,22.3479,69.87,86,96,5.48
25,Mutengene,CM,7/13/2021 8:33,4.0913,9.3144,72.52,77,88,2.64
26,Yumen,CN,7/13/2021 8:31,40.2833,97.2,85.37,24,100,7.11
27,San Jose,US,7/13/2021 8:33,37.3394,-121.895,61,84,1,5.75
28,Elko,US,7/13/2021 8:31,41.0002,-115.5012,73.42,50,69,5.21
29,Banda Aceh,ID,7/13/2021 8:33,5.5577,95.3222,84.52,72,93,10.63
30,Yellowknife,CA,7/13/2021 8:30,62.456,-114.3525,62.29,72,20,6.91
31,Tirau,NZ,7/13/2021 8:33,-37.9833,175.75,48.27,80,63,2.98
32,Kampong Thum,KH,7/13/2021 8:33,12.7111,104.8887,87.03,71,100,1.74
33,Dhidhdhoo,MV,7/13/2021 8:33,6.8833,73.1,82.4,80,89,14.34
34,Leningradskiy,RU,7/13/2021 8:29,69.3833,178.4167,43.16,86,58,9.95
35,Jinchang,CN,7/13/2021 8:33,38.4953,102.1739,89.82,21,95,9.33
36,Hobart,AU,7/13/2021 8:30,-42.8794,147.3294,54.27,76,75,3.44
37,Emerald,AU,7/13/2021 8:33,-23.5333,148.1667,66.34,55,75,6.91
38,Osoyoos,CA,7/13/2021 8:30,49.0331,-119.4524,80.19,43,4,4.61
39,Mahebourg,MU,7/13/2021 8:30,-20.4081,57.7,74.25,60,40,16.11
40,San Quintin,MX,7/13/2021 8:31,30.4833,-115.95,67.15,81,0,1.5
41,Presidencia Roque Saenz Pena,AR,7/13/2021 8:33,-26.7852,-60.4388,70.34,41,100,7.31
42,Arica,CL,7/13/2021 8:33,-18.475,-70.3042,59.23,82,90,4.61
43,Ilulissat,GL,7/13/2021 8:33,69.2167,-51.1,44.62,76,100,3.44
44,Popondetta,PG,7/13/2021 8:33,-8.7537,148.2534,75.15,89,8,2.24
45,Kavieng,PG,7/13/2021 8:31,-2.5744,150.7967,82.98,76,21,16.69
46,Pisco,PE,7/13/2021 8:31,-13.7,-76.2167,62.02,88,82,3.44
47,Dikson,RU,7/13/2021 8:30,73.5069,80.5464,34.03,93,99,15.73
48,Barrow,US,7/13/2021 8:30,71.2906,-156.7887,35.62,90,1,6.91
49,Quzhou,CN,7/13/2021 8:33,28.9594,118.8686,94.68,62,100,2.89
50,Puerto Ayora,EC,7/13/2021 8:30,-0.7393,-90.3518,71.2,84,82,8.12
51,Victoria,HK,7/13/2021 8:28,22.2855,114.1577,93.25,75,66,7
52,Aykhal,RU,7/13/2021 8:31,66,111.5,57.43,88,100,4.41
53,Georgetown,MY,7/13/2021 8:30,5.4112,100.3354,82.35,83,40,8.05
54,Glenwood Springs,US,7/13/2021 8:33,39.5505,-107.3248,77.92,40,90,3.44
55,Havre-Saint-Pierre,CA,7/13/2021 8:33,50.2334,-63.5986,51.8,87,1,3.44
56,Carlos Chagas,BR,7/13/2021 8:33,-17.7031,-40.7664,61.63,98,30,1.9
57,Busselton,AU,7/13/2021 8:30,-33.65,115.3333,58.05,75,28,22.91
58,Xiaoweizhai,CN,7/13/2021 8:33,26.1903,107.5125,80.31,80,82,9.35
59,Pevek,RU,7/13/2021 8:30,69.7008,170.3133,41.86,85,100,5.84
60,Tura,IN,7/13/2021 8:30,25.5198,90.2201,85.21,71,100,4.7
61,Zyryanka,RU,7/13/2021 8:33,65.75,150.85,55.33,62,26,3.13
62,Katobu,ID,7/13/2021 8:33,-4.9408,122.5276,80.82,73,89,4.16
63,Hatsukaichi,JP,7/13/2021 8:33,34.35,132.3333,87.57,19,12,1.59
64,Maputo,MZ,7/13/2021 8:33,-25.9653,32.5892,73.08,43,0,8.05
65,Biak,ID,7/13/2021 8:33,-0.9131,122.8766,79.12,82,91,6.38
66,Fomboni,KM,7/13/2021 8:33,-12.28,43.7425,77.36,75,16,11.18
67,Gatton,AU,7/13/2021 8:33,-27.55,152.2833,62.35,65,93,2.51
68,Souillac,MU,7/13/2021 8:32,-20.5167,57.5167,74.35,60,40,16.11
69,Sarahan,IN,7/13/2021 8:33,31.5167,77.8,72.07,73,66,6.8
70,Qaanaaq,GL,7/13/2021 8:30,77.484,-69.3632,40.98,83,96,10.47
71,Rudnogorsk,RU,7/13/2021 8:33,57.2639,103.7519,82.83,25,97,4.99
72,Fairbanks,US,7/13/2021 8:27,64.8378,-147.7164,68,54,75,0
73,Chuy,UY,7/13/2021 8:28,-33.6971,-53.4616,56.01,82,97,6.02
74,Mitsamiouli,KM,7/13/2021 8:33,-11.3847,43.2844,78.44,71,4,4.97
75,Ulaangom,MN,7/13/2021 8:32,49.9811,92.0667,80.1,31,26,10
76,Nioro,GM,7/13/2021 8:33,13.35,-15.75,77.47,77,100,0.67
77,Leh,IN,7/13/2021 8:33,34.1667,77.5833,69.91,32,98,7.94
78,Dzhebariki-Khaya,RU,7/13/2021 8:33,62.2167,135.8,72.63,47,92,2.53
79,Rikitea,PF,7/13/2021 8:30,-23.1203,-134.9692,73.22,79,5,12.19
80,Vaini,TO,7/13/2021 8:30,-21.2,-175.2,75.36,94,75,4.61
81,Srednekolymsk,RU,7/13/2021 8:32,67.45,153.6833,46.02,74,100,7.02
82,Torbay,CA,7/13/2021 8:30,47.6666,-52.7314,49.75,83,20,26.46
83,Bambous Virieux,MU,7/13/2021 8:30,-20.3428,57.7575,74.21,60,40,16.11
84,San Matias,BO,7/13/2021 8:33,-16.3667,-58.4,64.42,47,0,4.79
85,Nikolskoye,RU,7/13/2021 8:30,59.7035,30.7861,90.39,29,64,4.41
86,Hilo,US,7/13/2021 8:26,19.7297,-155.09,72.81,87,1,8.05
87,Ponta Do Sol,PT,7/13/2021 8:31,32.6667,-17.1,73.71,84,19,8.03
88,Komsomolskiy,UZ,7/13/2021 8:32,40.4272,71.7189,90.32,23,46,6.91
89,Airai,TL,7/13/2021 8:32,-8.9266,125.4092,64.49,66,19,3.76
90,Saint-Philippe,RE,7/13/2021 8:30,-21.3585,55.7679,77.22,68,40,14.83
91,Cherskiy,RU,7/13/2021 8:30,68.75,161.3,47.05,68,84,10.07
92,Salta,AR,7/13/2021 8:33,-24.7859,-65.4117,57.49,85,0,3
93,Cayenne,GF,7/13/2021 8:31,4.9333,-52.3333,75.09,91,90,0
94,Yeppoon,AU,7/13/2021 8:33,-23.1333,150.7333,65.98,86,13,10.09
95,Walajapet,IN,7/13/2021 8:33,12.9333,79.3833,89.56,50,99,12.24
96,New Norfolk,AU,7/13/2021 8:31,-42.7826,147.0587,53.92,72,100,1.01
97,Ahipara,NZ,7/13/2021 8:32,-35.1667,173.1667,51.03,77,28,7.99
98,Yegorlykskaya,RU,7/13/2021 8:33,46.5656,40.6562,88.3,27,97,12.68
99,Erzin,TR,7/13/2021 8:32,36.9559,36.2,90.32,47,3,7.29
